Country,Electoral_Democracy_Index_2023,GDP_per_capita_2023,Investments_percent_GDP_2023,Urbanization_percent_2023,Control of corruption 2023,Expected years of schooling
Niger,0.387,642.937917863471,26.446775142129,17.054,31.6037731170654,5.994
Chad,0.147,680.639877912029,25.7554813932324,24.366,4.71698093414307,5.99
Central African Republic,0.305,495.978897153068,23.7477562200269,43.614,8.96226406097412,
South Sudan,0.159,,,21.195,0.0,
Somalia,0.17,597.458854603159,22.3784203448908,47.92,0.943396210670471,
Afghanistan,0.073,415.707417059086,15.2,26.933,13.6792449951172,7.987
Haiti,0.211,1705.77905452248,13.8536836673602,59.656,6.13207530975342,
Yemen,0.128,477.409028678688,,39.831,1.88679242134094,
Syria,0.146,,,57.409,0.471698105335236,
Sudan,0.133,2183.44140625,2.17279846200315,36.342,4.24528312683105,7.64
Liberia,0.623,771.887142089677,,53.567,20.7547168731689,
Sierra Leone,0.493,757.85833603088,19.7173429649676,44.3,31.1320762634277,
Burundi,0.187,193.007145564804,12.9873820939998,14.784,3.30188679695129,10.345
Malawi,0.576,602.343619809252,,18.28,29.7169818878174,10.03
Rwanda,0.213,1010.2689290184,23.2859021868078,17.892,73.1132049560547,12.547
Congo (Democratic Republic),,627.502181690836,32.1151182270969,47.444,5.18867921829224,
Madagascar,0.479,506.159368687808,21.5936856636199,40.556,18.3962268829346,9.465
Togo,0.394,985.697512629974,22.9544796791665,44.49,28.7735843658447,11.493
Guinea,0.171,1541.04050914957,20.8605222670854,38.085,20.2830181121826,
Benin,0.493,1394.37330217623,40.4710649028638,50.1,52.8301887512207,9.752
Burkina Faso,0.211,882.689810086163,22.5438564249502,32.52,49.5283012390137,7.435
